OBJECTID,zones905,FREQUENCY,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co,rank
658,691,2,59.45,74.915,101.335,0,218.585,312.59,0.155,5,46,18,14,95.18940544,15.67969267,54.29966832,6.921300848,33.13441817,38.80194632,0.247499826,5
796,836,1,43.5,67.73,87.84,7.26,133.02,313.28,0.161,4,24,48,13,88.55982895,12.88961067,72.14550781,1.494231904,29.77315922,35.03757053,0.263813433,3
191,198,1,48.3,66.67,82.96,0,153.06,313.65,0.193,14,11,15,36,96.80193138,15.86208248,47.10715866,3.094974458,27.70060968,35.6211977,0.241311755,4
275,286,1,42.5,34.52,61.08,0,122.62,313.78,0.175,8,39,42,29,89.29502487,15.06616831,65.51459885,6.803690434,39.04221153,40.01439095,0.268628106,3
747,785,1,55,77.76,75.71,0,181.36,314.27,0.193,14,11,15,36,97.27727,15.51289288,44.09999847,1.949389537,28.55445099,35.59566307,0.23431401,5
179,186,1,28.8,29.32,48.03,0,70.99,314.29,0.183,44,40,26,24,102.4895574,10.72293472,40.37306803,2.381174521,21.63471968,33.30553763,0.256145442,1
361,379,1,32.9,48.84,34,0,68.88,314.33,0.172,47,36,36,32,104.8984768,12.13637825,42.87808521,3.603365467,22.10184119,34.82305717,0.235098074,1
235,244,2,47.45,49.21,75.305,0,113.15,314.525,0.218,19,41,39,41,95.38530712,17.41773787,53.18123971,3.593446058,34.29141026,34.93826485,0.262291257,4
7,6,1,50.2,0,95.01,0,134.26,314.76,0.155,5,46,18,14,96.11939468,16.3207531,51.40730209,2.466863298,35.33230247,39.23015404,0.250229137,4
811,851,1,39.9,37.7,55.81,0,106.21,315.27,0.211,7,23,24,42,98.25287628,17.38816833,50.97218486,1.888354863,33.04354913,38.76154772,0.253184537,3
812,852,2,49.45,62.015,80.06,0,171.345,315.895,0.209,27,35,38,47,87.73299408,17.76075554,62.95437861,4.35826987,34.38522292,41.17644374,0.272545424,4
705,740,1,36.6,51.15,56.4,2.7,100.1,316.21,0.187,6,10,6,25,97.74016762,13.03304744,53.38641357,4.149493694,35.49925375,36.52312317,0.206653169,2
746,784,1,33.8,37.88,54.02,0,83.04,316.53,0.187,6,10,6,25,100.5494941,17.46106052,53.91736984,0.825063467,33.77936772,35.5473628,0.260296643,2
259,269,1,46.7,62.46,117.13,0,181,316.66,0.173,43,14,23,33,108.8418929,0,0,0,0,34.35233331,0,4
176,183,1,38.9,41.91,49.42,0,112.79,316.89,0.157,2,30,47,23,79.76665666,9.403308868,69.86669752,3.73131556,34.40303294,35.08435726,0.254391771,3
521,549,1,38.3,61.23,54.89,0,78.22,317.24,0.218,19,41,39,41,97.85619863,17.08222834,52.04843267,2.160533508,32.72741572,35.66480255,0.25611948,2
722,757,1,37.8,44.51,86.94,0,114.77,317.33,0.188,25,33,27,39,99.56946411,15.75402164,61.77631226,0.55312928,29.81555748,40.9130661,0.280677289,2
165,171,1,36.3,47.9,34.25,0,100.8,317.39,0.208,22,38,33,40,94.83348338,16.17217573,54.38151296,2.176658869,30.13543065,36.96881866,0.247886737,2
365,384,1,35.5,32.93,37.06,0,105.45,317.62,0.175,8,39,42,29,88.06847382,13.72332573,69.516922,2.806125879,31.50918961,36.02685928,0.267254725,2
134,139,1,35,0,74.5,0,82.36,318,0.135,11,17,11,9,92.57930026,17.68635676,47.8993658,4.085379124,37.27845665,31.99069156,0.22974188,2
846,887,1,44,51.99,60.34,0,136.62,318.39,0.172,10,21,22,30,92.94492149,14.05629969,60.93151474,0.618401162,32.7685461,43.21511078,0.249945939,3
229,238,1,42.5,42.05,71.23,0,128.81,318.54,0.188,25,33,27,39,88.74289576,13.74301672,65.02173869,2.18418473,30.44391537,37.27969971,0.265986568,3
761,799,1,32.3,54.91,0,0,85.75,319.32,0.145,20,25,21,8,95.08146477,14.42043654,38.20640373,1.557138681,30.49113798,34.913119,0.256863008,1
