OBJECTID,zones905,rank,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co
582,612,1,-1.434702027,-0.541175775,-0.601565833,1.100252093,-0.913732252,-0.412546011,-0.221953946,1.378013236,1.534170857,-0.151938204,0.621686149,0.07965277,0.041894281,-0.110429427,-0.287916118,0.209367528,-0.751711179,-0.420083648
211,218,1,-1.546918901,-0.382845996,-0.418925547,-0.198523792,-0.689377799,-0.412546011,-0.319413528,1.207226179,0.766973917,-1.45476377,-0.502497381,0.351254193,-0.035019459,-0.710461242,-0.365081097,0.57828345,-0.442098252,-0.355811767
261,271,1,-1.434702027,-0.217950588,-0.304185599,-0.198523792,-0.446204256,-0.412546011,-1.164063243,0.267897371,-0.15366241,-0.441454997,-1.551735341,-0.136570836,-0.105512219,-2.174811928,-0.556567205,-0.213754027,-1.049395817,-0.047518045
541,570,1,-1.961258127,-0.337037524,-0.367367788,-0.198523792,-0.423312377,-0.412546011,-0.806711441,0.097110314,-1.68805629,1.368024955,-0.127769538,0.013620359,1.626772587,0.393959763,0.614692501,-1.696447047,2.604248457,-0.211910239
197,204,2,-0.666448045,-0.230478111,-0.342956488,-0.198523792,-0.418186282,-0.412546011,-1.294009353,-1.183792607,-0.076942716,-1.599522166,-1.401844204,0.870052804,2.515646126,-0.477232415,-0.881822791,-0.736632329,-0.76300164,1.100456028
65,68,2,-0.52833497,-0.541175775,-0.187189145,-0.198523792,-0.41797562,-0.412546011,-0.286927001,-0.58603791,-0.460541186,-0.369075798,0.097067168,-0.832940321,0.275664616,0.577501805,-0.322467179,-0.940602591,0.565063217,0.136911176
383,404,2,-0.692344247,-0.220063664,-0.601565833,-0.198523792,-0.412568643,-0.412546011,0.980047572,-0.842218494,-0.307101798,-0.224317402,0.996413992,0.545247047,0.423317158,-0.151834622,0.499935904,-0.234556347,0.676478518,-1.395878447
220,228,4,0.451404658,-0.067544845,-0.080039266,-0.198523792,-0.391221615,-0.412546011,-0.319413528,1.207226179,0.766973917,-1.45476377,-0.502497381,0.357821905,-0.19836286,-0.612647716,-0.352221045,0.168529276,-0.553233157,-0.353324056
503,531,3,-0.329797424,-0.541175775,-0.206677158,-0.198523792,-0.37310473,-0.412546011,0.980047572,-0.842218494,-0.307101798,-0.224317402,0.996413992,0.472865362,1.172152406,-0.497315903,-0.593715067,0.80078565,-0.073045897,-0.136924487
218,226,1,-0.916777994,-0.197876365,-0.363606943,-0.198523792,-0.340522424,-0.412546011,1.629778121,0.780258539,1.150572387,0.137578588,1.221250697,-1.525121776,-2.321225752,1.453420798,0.390682961,0.859167721,-0.71324815,1.081558384
98,102,1,-1.503758565,-0.541175775,-0.359504203,-0.198523792,-0.318613633,-0.412546011,-0.774224913,-1.269186135,0.22993606,1.440404154,-0.427551812,-1.203151897,-2.229760348,1.25955821,0.211498379,1.042225163,-0.635915337,0.382414288
75,78,2,-0.597391508,-0.283833284,-0.350341419,-0.198523792,-0.310257395,-0.412546011,0.070424802,2.317342044,0.997132999,-0.079559006,-0.352606243,0.882016526,-2.159936533,-1.926438824,-0.278834571,-2.590705293,-1.458479254,0.316219828
