OBJECTID,zones455,FREQUENCY,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co
373,382,3,52.36666667,67.29666667,85.07666667,0,160.9366667,221.4533333,0.209,27,35,38,47,88.79113264,17.58666547,62.40117356,3.997567841,33.93867885,41.37620697,0.26867248
374,383,4,55.85,89.66,90.9775,0,221.76,71.655,0.226,16,15,35,43,87.54011021,16.40676531,60.04146336,13.42837561,29.99918792,38.91604138,0.268094703
375,384,1,50.6,71.04,69.29,0,,412.83,0.154,35,28,20,18,104.1638212,14.02554965,47.00080109,3.639982343,20.12477541,40.55724478,0.225145441
376,385,4,39.475,51.71666667,70.96,0,116.0775,308.63,0.208,22,38,33,40,87.57733011,13.0724198,57.39890194,6.482312888,30.26014455,37.98299758,0.232971431
377,386,4,38.925,39.17666667,57.7575,0,113.2925,221.3025,0.157,2,30,47,23,88.17597381,10.83650833,66.47623043,3.542781051,34.35945736,37.69952742,0.249582052
378,387,5,50.24,73.962,74.58,0,151.43,193.358,0.208,17,29,29.4,39,96.32775472,16.82492621,49.8749212,3.510285008,33.09548104,36.46259086,0.250315095
379,388,1,36.5,,60.6,0,91.96,0,0.172,10,21,22,30,86.78635684,15.60162298,61.660751,2.152179751,26.83383317,39.55004813,0.253524425
380,389,3,48.06666667,44.21,86.61333333,1.416666667,147.6966667,262.6566667,0.172,10,21,22,30,87.63898798,13.43751066,63.70654338,2.567488235,28.77115329,40.43549135,0.259846929
381,390,3,53.4,54.29,91.66,0,203.7466667,73.9,0.201,23.33333333,39.33333333,42.33333333,40.33333333,79.05868124,9.667720968,63.56742461,4.106151486,34.78580992,36.07935639,0.265750368
382,391,3,51.43333333,67.55333333,93.45333333,0,167.67,273.7266667,0.141,3,26,5,10,103.4181329,16.01209116,40.26408748,0.819758551,24.76436577,33.00444635,0.243935774
383,392,7,44.94285714,47.83714286,57.92285714,0,146.5314286,278.32,0.175,8,39,42,29,99.09183094,17.53259393,62.12514305,2.67091339,35.1613587,42.03140736,0.270795271
384,393,2,36.8,48.225,49.505,0,105.965,287.48,0.193,14,11,15,36,98.40759405,15.89082162,43.36684767,2.297801008,28.99002838,35.44719347,0.248093598
385,394,5,29.22,34.406,34.676,0.282,72.245,252.826,0.145,20,25,21,8,91.53783054,15.00943618,36.32810125,1.426045072,28.83412276,34.15236401,0.25304109
386,395,2,55.6,70.535,75.955,0,182.87,399.285,0.211,7,23,24,42,97.65396067,16.69381129,54.65506058,2.407675998,33.5507913,40.63304472,0.220959082
387,396,6,22.73333333,19.89666667,24.24333333,0.565,51.30166667,225.165,0.156166667,20,24.16666667,19.5,23.5,91.64483685,15.60809173,59.88355594,1.447155767,29.32648511,39.93350585,0.253176312
388,397,2,53.85,62.615,97.34,0,170.64,353.305,0.155,5,46,18,14,97.04320854,15.90631269,49.801577,1.818884903,35.44420825,38.91450975,0.259363164
389,398,2,44.45,56.305,72.785,0,157.55,265.105,0.164,13,22,14,20,95.67244568,13.97925401,59.31659813,1.266532672,28.72383328,41.20992889,0.224857333
390,399,4,56.05,65.52,102.6725,0,199.7425,254.425,0.201,30,48,49,44,92.35449246,12.45686914,60.44606946,3.872972451,33.34384357,37.1844104,0.258318441
391,400,1,44.3,47.91,48.57,0,145.73,261.74,0.141,3,26,5,10,102.5567102,13.19692001,38.07944489,2.465719007,23.24284649,33.95398031,0.22557566
392,401,3,43.33333333,49.69,62.47333333,0,128.865,343.6466667,0.155,5,46,18,14,95.75578863,15.38106249,51.93649937,3.206722849,35.04024462,40.05118918,0.249658282
393,402,2,50,70.325,57.575,0,134.39,488.895,0.193,46,31,31,35,95.13549805,12.00191712,43.18914604,1.424660228,23.62766529,33.98334623,0.234942959
394,403,4,39.45,38.98,70.585,0,138.43,58.0575,0.2065,8.75,20,21.75,40.5,99.33022181,17.38508766,50.15743176,1.847194577,32.88130125,37.48080444,0.250789937
395,404,2,47.15,63.325,95.555,0,171.3,0,0.222,36,50,45,46,82.06383896,11.51244569,68.16408539,4.252497435,35.4037838,36.42584038,0.272424084
396,405,1,32.9,48.84,34,0,68.88,314.33,0.172,47,36,36,32,104.8984768,12.13637825,42.87808521,3.603365467,22.10184119,34.82305717,0.235098074
397,406,2,31.15,36.155,35.28,0,67.17,140.55,0.171,31,37,7,22,97.02676011,14.79836857,49.06327773,2.081093788,32.64239979,36.10930968,0.242081154
398,407,2,40.25,51.62,58.595,0,92.685,279.31,0.218,19,41,39,41,94.82979012,16.17942174,55.31210423,3.157274962,32.96963692,36.00234604,0.240489107
399,408,5,47.06,54.79,80.448,0,155.304,228.172,0.2454,34,41.2,26.8,45,98.02244339,12.98504593,55.6175127,4.049963421,30.57643085,37.94147129,0.206466887
400,409,4,39.175,55.385,68.8,0,128.3375,266.42,0.187,6,10,6,25,96.92402385,13.319173,49.64090095,2.999040833,30.78087026,36.91121401,0.199971609
401,410,4,37.775,68.5725,73.1975,0,124.3975,247.7475,0.161,4,24,48,13,94.51998084,11.89985943,74.03437829,1.692496483,28.49341769,34.29222643,0.260528002
402,411,1,30.9,43.25,46.5,0,98.67,227.53,0.141,3,26,5,10,105.4842072,19.28306293,49.33372307,0.228333466,25.97378858,35.91727511,0.27496472
403,412,2,31.8,27.915,36.17,0,92.495,256.595,0.223,34,44,40,49,87.31032766,13.20635544,58.89143448,5.671174079,31.80051064,36.87517162,0.237107322
404,413,1,36.9,,0,42.07,56.49,94.92,0.174,33,47,25,37,93.34525824,13.90452027,57.39594221,2.562496796,30.74979663,36.17612171,0.246733234
405,414,3,19.8,682.1966667,685.9733333,78.46333333,658.5466667,6625.923333,0.146,15,8,28,11,99.08213027,17.92042798,48.73301595,4.220597726,25.99668932,43.26240434,0.231187781
406,415,1,46,52.33,69.63,0,151.12,268.14,0.222,36,50,45,46,74.20466868,14.25336234,66.72594198,3.025684873,35.03018697,36.43864441,0.264531533
407,416,4,37.1,56.4475,51.43,0,111.125,277.3425,0.15875,17,18.25,16.5,19.25,95.82883573,15.21800235,48.87249962,1.38262681,33.33903971,37.18932489,0.264051521
408,417,1,42.6,50.88,0,0,,353.98,0.175,37,32,43,31,95.00047772,16.60231372,59.75632301,2.586694186,24.39075162,44.36659916,0.275069267
409,418,4,40.975,51.0175,60.6775,0,129.92,291.815,0.172,10,21,22,30,90.1025699,14.22682989,61.77121361,0.36954825,33.46644767,43.12550934,0.258094662
410,419,3,40.56666667,54.47666667,56.24666667,1.1,136.9733333,290.1433333,0.199,11.66666667,15,18,38,98.54270108,17.67050234,50.35007795,2.579249425,34.07174854,37.77394744,0.251822579
411,420,3,56.16666667,93.46666667,62.6,0,259.6666667,0,0.208,22,38,33,40,90.78718101,16.35072243,57.52083261,33.92718701,30.21990988,39.76690498,0.239423972
412,421,2,43,52.015,52.06,1.43,117.755,346.325,0.16,21,9,16,21,97.76679128,16.26965145,49.39188849,1.197729727,31.94698824,38.61232764,0.254450425
413,422,4,36.4,49.475,68.4925,1.5575,127.7275,181.175,0.187,6,10,6,25,95.40747997,17.67062749,50.27144026,0.725551463,29.06590427,34.31558392,0.262183921
414,423,2,42.1,57.565,60.865,7.63,118.975,303.195,0.193,14,11,15,36,97.06138357,16.30289183,46.81455651,4.178511421,30.54700867,38.15936859,0.242470398
415,424,1,51,84.63,99.93,0,145.43,384.23,0.172,10,21,22,30,85.04144287,14.02546616,62.87584076,3.230844784,25.90428886,39.33879471,0.241443718
416,425,3,40.96666667,54.49,71.07333333,0,108.42,299.78,0.165666667,22.33333333,40,10.66666667,19.33333333,98.87954436,15.29069617,50.04315329,1.768407627,34.14577611,37.68025677,0.261769718
417,426,3,44,59.89,64.17666667,0,134.1266667,328.2333333,0.172,10,21,22,30,92.54301368,14.66034826,61.50702572,0.272992731,32.15042385,43.59090593,0.26038045
