OBJECTID,zones455,FREQUENCY,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co
39,38,3,42.8,97.15,45.50333333,0,137.0333333,147.3733333,0.16,21,9,16,21,96.62798733,14.47485387,46.78622558,1.645029449,30.93317103,36.04078107,0.266203343
40,39,1,33.5,36.22,59.58,0,82.72,323.32,0.193,14,11,15,36,95.84353209,14.45397908,31.65509462,2.091782659,30.35600954,35.31696987,0.257901214
41,40,2,35.9,48.265,70.125,0,123.285,227.43,0.187,6,10,6,25,95.80413933,12.10407039,52.7971344,3.362239126,35.19684935,35.19991559,0.210803193
42,41,4,71.85,74.01333333,109.44,0,233.4675,282.5175,0.2245,25,29.5,37.5,46,86.14953405,15.64484651,60.18345419,13.38357863,31.29289991,39.4440492,0.260421685
43,42,2,39.8,98.67,0,0,139.54,386.73,0.193,14,11,15,36,92.50298187,15.08509449,28.87313145,3.011183226,29.79031849,35.69572004,0.243095563
44,43,5,43.22,42.952,60.988,0,138.532,320.434,0.223,34,44,40,49,85.73813752,13.42286547,61.71118315,7.606591953,33.26843344,37.87060787,0.254137034
45,44,4,54,60.135,90.5175,0,167.8225,404.7425,0.209,27,35,38,47,85.35528339,17.84117317,63.34199559,4.991302447,34.50463642,40.75533287,0.27467447
46,45,6,33.9,40.84833333,54.28666667,0.46,91.05,275.87,0.187,6,10,6,25,98.97406551,17.03022727,53.8715602,0.907264209,33.43154581,36.25010894,0.261291939
47,46,3,37.86666667,45.1,55.41666667,0,98.19,114.0833333,0.158,50,29,8,16,107.3881091,12.80063587,45.28940068,1.309435788,20.5776379,33.54836552,0.227009305
48,47,4,53.3,93.99,115.205,0,181.0025,359.1625,0.193,14,11,15,36,96.24119139,15.62574215,43.90708153,2.927349478,27.9291002,35.67124747,0.247556568
49,48,4,45.775,49.66333333,53.85,0,123.9675,310.545,0.164,13,22,14,20,94.61184343,15.3985013,57.09059121,1.153762531,28.67504681,39.63516331,0.248126964
50,49,4,42.3,40.6775,62.245,0.7725,137.64,226.0625,0.231,26,42,29,45,77.85127226,9.947014198,69.40373389,4.412284831,34.4291625,35.93913549,0.278981353
51,50,1,64.3,65.05,109.07,0,202.93,433.08,0.223,34,44,40,49,86.15298004,13.22604847,63.18763733,7.456062317,34.36533203,37.63751507,0.283831067
52,51,2,58.65,,0,34.34,114.47,171.335,0.174,33,47,25,37,89.2209034,13.64731097,57.75406981,3.637893468,31.591851,36.84680223,0.219709745
53,52,4,48.975,57.23333333,76.33,0,159.2675,272.3575,0.20625,24,40.5,37,41,86.80787849,13.37311351,57.33114132,5.872701039,31.04968965,37.54710372,0.229478576
54,53,2,46.45,60.21,95.955,0,153.835,332.85,0.212,27,35.5,23,35,98.22162788,12.95298342,58.93190066,3.012248685,29.80817747,41.36707974,0.23323081
55,54,5,43.8,44.05,53.6,1.854,127.038,289.328,0.201,30,48,49,44,89.22730311,13.65934355,60.18769732,4.126776117,34.39298164,38.87121435,0.266350544
56,55,8,54.5875,51.67,78.05625,0.355,164.425,348.7675,0.226,16,15,35,43,91.68380151,17.5066329,58.76605903,7.486615965,29.54398831,39.89321117,0.261826165
57,57,3,47.36666667,59.20666667,81.25333333,1.39,174.3266667,290.4966667,0.226,16,15,35,43,100.5235838,14.13494631,58.82415356,2.216566997,29.87726036,41.24240184,0.265595383
58,58,3,67.5,84.285,128.7866667,0,228.49,309.8466667,0.226,16,15,35,43,101.1958955,14.8681252,58.38571676,4.828498046,29.73396365,40.74168218,0.265666537
59,59,1,37.8,51.2,60.82,0,140.53,0,0.187,49,43,41,38,118.9200509,11.57125169,44.33755562,3.632460353,16.41826597,40.11073082,0.234374728
60,60,1,32.7,43.28,56.16,0,104.38,249.32,0.145,20,25,21,8,99.17654109,12.95687129,31.71838769,1.395153135,23.85145053,33.93369463,0.24967058
61,61,1,16.3,7.12,17.63,0,27.46,190.06,0.157,2,30,47,23,74.99443644,11.21677403,72.92556867,3.777688482,38.52168534,32.42049183,0.252072281
62,62,5,43.12,51.278,66.338,1.088,126.366,324.51,0.1706,8.6,26.2,46,19.8,53.49719761,14.23087912,69.4410308,1.964989382,34.33351359,36.52886628,0.267860279
63,63,1,48.5,57.82,72.62,0,171.81,0,0.141,3,26,5,10,104.6463048,12.88543472,42.45838725,2.369012475,19.58035685,32.49362348,0.220916411
64,64,4,54.05,77.85333333,93.275,0,181.8675,331.3075,0.155,5,46,18,14,94.73245144,15.77960154,54.97816777,10.53399328,32.27323302,38.98361834,0.248155575
65,65,1,55.8,79.49,108.96,0,254.5,0,0.26,41,49,32,50,99.8511556,14.84489504,56.93569056,3.6951406,30.1227239,39.83637873,0.223853678
66,66,4,43.65,53.41,65.8625,0,107.905,162.72,0.2145,13,32,31.5,41.5,98.57087135,17.84153378,51.71128392,1.507331126,34.0569942,36.9542617,0.248751665
67,67,1,40.2,43.66,54.41,0,135.62,0,0.193,14,11,15,36,98.38051224,15.81883955,40.91402817,1.70653984,29.55374336,35.63477898,0.238216262
68,68,4,38,,0,41.59,39.0125,61.265,0.174,33,47,25,37,95.20392587,15.50452364,55.06075786,2.220812543,31.16952373,35.61546359,0.244680512
69,69,2,32.4,29.97,39.34,0,90.24,297.84,0.164,32,32.5,23.5,16,101.5562791,11.5060184,37.46512292,1.453492953,23.61854372,33.10788775,0.238578888
70,70,5,38.32,57.884,56.11,0,107.54,234.03,0.141,3,26,5,10,107.0291627,17.40690571,46.33599614,0.198439512,25.48844332,33.89143643,0.250535949
71,71,2,36.65,57.645,57.435,0,147.44,94.635,0.161,24,13,30,19,104.1688077,18.41610604,53.58498804,3.927929332,29.87882904,33.86451142,0.234821227
72,72,3,30.4,32.965,34.46333333,0,94.82333333,154.9,0.145,20,25,21,8,93.16349453,14.95309608,35.38210809,1.361726815,25.37933833,33.96481701,0.25514516
73,73,2,32.45,60.975,54.45,0,87.705,275.545,0.137,12,19,3,2,106.8515214,14.83949719,51.14676815,0.38447251,25.46680482,36.11894035,0.241187036
74,74,1,60.9,136.22,0,0,174.89,572.08,0.16,21,9,16,21,98.07442038,13.90265022,34.23451315,1.568070258,28.05186885,34.39923423,0.253813725
75,75,4,49.125,82.36,92.155,2.4925,164.6875,241.0425,0.1795,13.75,20.25,19.25,25.75,100.178485,14.16434709,59.06204044,9.122061344,29.9613969,41.46727595,0.245605402
76,76,1,40.4,,0,43.28,52.56,96.38,0.174,33,47,25,37,95.01345062,14.1862652,57.66380819,2.465041558,30.11300511,36.22310003,0.254120972
77,77,5,45.28,46.388,76.832,0,142.142,315.96,0.209,27,35,38,47,76.1150002,16.93404978,65.98317129,4.185353432,35.71081408,38.72546947,0.269254651
78,78,2,47.45,49.68,89.815,0,152.11,330.615,0.188,25,33,27,39,86.34410032,13.92409118,64.13722585,1.115340663,30.74907125,38.78469563,0.269516969
79,79,2,36.85,54.15,42.285,0,114.79,142.115,0.145,20,25,21,8,99.44939942,12.47913133,36.08432055,1.413112526,21.97336369,33.28732804,0.250467488
80,80,3,32.83333333,27.38,56.04,0.96,128.9733333,79.22333333,0.157,2,30,47,23,82.82375355,9.154785037,68.16056868,3.746566602,35.00469777,35.63322957,0.259934651
81,81,4,68.175,83.39,122.955,0,222.9625,0,0.26,41,49,32,50,100.0979769,14.28664923,57.68706393,3.937079077,29.87722417,39.75268548,0.226263865
82,82,4,58.575,66.745,90.4475,0,216.4625,277.4175,0.2155,28,41,36.5,44.5,88.1534195,15.14512,58.94697936,20.1869277,30.94229802,39.49991694,0.25267675
83,83,3,50.16666667,54.14,98.51333333,0,142.96,273.4733333,0.188,25,33,27,39,90.26833428,13.54242889,65.3174892,2.696133445,29.9340082,36.83284264,0.269284659
84,84,2,35.25,56.645,61.22,0,135.12,97.37,0.157,39,34,5,12,109.9974703,13.91848417,47.91157169,0.451640513,21.44523845,33.41044998,0.236861434
85,85,3,29.93333333,36.67,40.17,0.806666667,81.205,170.2266667,0.143666667,21,24,3.666666667,5.333333333,111.5121489,14.30587756,51.01663514,0.493283977,24.96626023,33.39464363,0.233150908
86,86,3,44.33333333,49.57,69.96666667,0,134.6066667,300.42,0.155,5,46,18,14,96.3715753,16.2861811,50.61769262,2.114733432,35.39733235,39.45656762,0.255658421
87,87,1,35.5,32.44,45.05,2.9,89.82,310.86,0.193,14,11,15,36,96.32325151,15.61709552,45.91330338,1.476827595,29.63460286,35.99850676,0.245487713
88,88,2,38.75,63.005,83.115,0,108.045,347.12,0.1655,27.5,18.5,44.5,29,89.86194941,19.66625086,64.2022494,3.14982916,24.54260802,46.04512463,0.253498681
89,89,3,47.9,64.3,50.31666667,0,117.67,443.93,0.211,7,23,24,42,96.70521757,17.44615237,53.44531653,0.936552842,35.78264448,41.53299056,0.242605594
90,90,1,19.9,27.05,34.25,0,91.2,0,0.156,18,5,46,27,94.10496762,19.15273369,59.98986776,4.952409111,23.74144712,45.91278106,0.245377488
91,91,4,42.375,71.985,41.68,0,135.8175,260.2425,0.141,3,26,5,10,96.51634868,13.44534522,41.74267163,1.38208634,25.47383332,34.76306505,0.208681099
92,92,5,42.62,45.674,64.352,0,131.794,343.674,0.157,2,30,47,23,87.46323105,11.92296506,64.57577481,3.684279562,33.43174645,39.54151355,0.253899265
93,93,8,56.5875,65.3325,95.82125,0,137.09875,203.74875,0.218,19,41,39,41,93.2212608,16.44327291,54.60069068,2.480004909,33.90950753,36.54326452,0.244936493
94,94,4,44.925,55.83,71.095,0,103.1675,314.685,0.218,19,41,39,41,95.94743681,17.93049169,52.99847484,2.104413934,33.89531915,36.16778421,0.259184193
95,95,2,54.15,69.25,73.18,2.515,179.795,374.07,0.201,30,48,49,44,89.03841229,13.54516585,59.40566674,3.961053807,33.47627116,37.33058978,0.254210356
96,96,3,42.73333333,58.61666667,64.14666667,0,141.8366667,200.4333333,0.170333333,6.666666667,34,44,23.66666667,87.89549469,13.92396408,70.02816482,6.024385981,31.32575614,35.92136555,0.265433193
97,97,5,37.88,65.3375,47.642,0,119.4725,235.336,0.161,24,13,30,19,104.2700667,17.92275659,54.82075096,3.920068758,28.34784049,31.31797114,0.234780589
98,98,3,40.86666667,67.57666667,74.44,0,142.57,223.39,0.146666667,15.66666667,8,10.66666667,13.33333333,97.75858107,16.40138594,58.87714613,0.613672261,28.56035041,38.78162592,0.272733467
99,99,3,40.1,57.14,65.93666667,0,137.9966667,262.8866667,0.193,14,11,15,36,98.14700466,16.00439549,46.49105136,2.945880426,28.60104773,35.64299393,0.245222414
100,100,1,55.6,67.81,106.61,0,231.99,0,0.222,36,50,45,46,85.34262848,11.05360031,67.82438087,4.582104564,35.46866703,35.91387558,0.280954421
101,101,2,42.4,58.955,63.83,2.105,126.595,305.345,0.141,3,26,5,10,97.677717,13.05917358,48.33212408,1.644448863,27.04143853,35.82626039,0.20417581
102,102,4,40.3,56.57,76.5575,0,142.3675,286.37,0.164,13,22,14,20,95.88638478,14.38417704,57.04279258,1.80230987,28.78264171,38.67012564,0.235139275
103,103,1,47.9,44.96,56.54,0,129.58,394.65,0.172,10,21,22,30,87.76005363,14.21088886,62.13995743,1.083788514,31.67788601,41.36589813,0.224033511
104,104,2,34.25,45.245,52.695,0,106.09,258.665,0.161,24,13,30,19,105.3842497,17.96348829,54.15971474,3.921800765,29.5884248,32.7384541,0.234880227
105,105,1,22.5,666.1,717.7,67.65,621.1,6310.5,0.113,1,4,34,4,92.55008341,16.70132065,64.83259989,4.17598292,29.88802808,44.06466222,0.247938433
106,106,3,47.1,72.54666667,62.2,0,125.42,347.92,0.141,3,26,5,10,100.1497518,13.70577849,49.63923248,1.6449494,26.52389876,35.0391354,0.200468222
107,107,4,43.55,50.5025,65.69,1.585,133.235,315.225,0.211,7,23,24,42,96.14352957,17.64029527,54.1840655,2.158975922,35.84897566,42.52124802,0.23819632
108,108,4,37.625,38.8025,59.2425,0,118.28,279.37,0.1815,16.5,36,34.5,34,87.26106585,14.98335547,64.87880207,4.359638914,36.49218092,40.10459534,0.268656524
109,109,3,34.93333333,37.86666667,38.29666667,0.753333333,85.34,313.16,0.138,17,1,9,10,95.30759315,16.52010772,56.90874818,1.181004787,29.15463546,42.96745675,0.253050973
110,110,1,37.2,27.63,56.56,0,147.16,216.24,0.209,27,35,38,47,77.77951558,16.46677026,64.76847521,4.969880144,33.79651515,37.78750165,0.272808552
111,111,7,44.87142857,68.50333333,73.46428571,0,152.2216667,266.7685714,0.187428571,11.71428571,19.28571429,25.71428571,33.71428571,101.1535146,15.0456997,60.30996791,4.072403346,29.48047906,42.29135315,0.252864515
112,112,3,55.03333333,88.29,96.74666667,0,241.5,196.3666667,0.164,13,22,14,20,100.1943434,14.00322469,58.35660087,7.088868274,29.75005626,40.70499187,0.234380797
113,113,2,43.25,47.215,65.435,2.07,116.76,347.09,0.172,10,21,22,30,92.09414864,13.48010167,61.16355833,0.957663529,31.73636039,43.48449675,0.24219094
114,114,3,33,37.17333333,50.43,0,93.88,260.2,0.158333333,15.66666667,21.33333333,16.66666667,18.66666667,97.21546427,16.19219147,49.2033365,1.197930859,33.70344416,39.15019692,0.263514491
115,115,3,36.73333333,84.23,72.9,0,121.6433333,221.3466667,0.135,11,17,11,9,93.1464399,19.37771316,50.39052329,4.020871377,25.22128714,29.64427439,0.234289602
116,116,1,39.3,56.05,90.48,0,132,290.62,0.173,43,14,23,33,108.6353106,9.981148402,45.04668045,0.87702827,19.28358806,31.84213188,0.21613667
117,117,4,39.1,52.665,72.8,0,121.03,290.8425,0.172,10,21,22,30,88.01302245,13.7839358,64.80468775,6.508639957,24.68052929,38.77913641,0.269572216
118,118,4,46.65,52.745,70.53,0,179.1125,159.58,0.231,26,42,29,45,85.11708971,8.971747399,68.36470801,4.506873115,34.80551291,35.58206595,0.27727026
119,119,2,38.8,73.9,41.645,0,144.63,196.98,0.187,6,10,6,25,95.41837738,11.65390226,50.37630409,3.029335281,31.82011486,35.42484751,0.207338547
120,120,3,39.76666667,43.59666667,45.6,0,115.5966667,217.27,0.231,26,42,29,45,72.88495848,11.2751722,70.2543621,3.782135738,33.90601932,36.78102499,0.278873377
121,121,7,47.42857143,57.61,77.30428571,0,167.08,163.56,0.188428571,17.14285714,30.28571429,42.28571429,32.42857143,70.30704162,14.84512675,69.05211984,1.690575226,34.13347517,36.13139896,0.26805922
122,122,5,54.44,70.462,101.326,0,163.722,367.498,0.226,16,15,35,43,102.2794727,15.22482108,59.37889977,1.668598783,30.50115541,41.33225899,0.272140052
123,123,5,42.38,46.036,63.454,0.952,128.37,288.184,0.188,25,33,27,39,83.98129462,13.70958636,64.97745748,1.039512124,32.08649116,38.00076781,0.272146528
124,124,3,34.6,33.92,50.39333333,1.603333333,100.3,184.81,0.175,8,39,42,29,90.39125506,13.98158884,68.12999496,6.374210024,34.14835752,36.97521083,0.269314229
125,125,2,55.95,106.545,115.385,0,200.845,198.595,0.193,14,11,15,36,94.42531162,15.40449611,36.6813757,2.863013768,29.37358452,36.25541246,0.243522872
126,126,3,35.26666667,35.17,45.43,0,85.65666667,290.3,0.159666667,33.66666667,31,15.66666667,19.33333333,95.75467925,14.54901075,51.05271784,2.011712023,29.6249032,34.42111307,0.235008181
127,127,1,25.7,17.58,20.79,0,65.06,249.66,0.157,2,30,47,23,84.05701192,10.05862904,68.04308573,3.711740176,35.108476,36.16893005,0.257066985
128,128,1,31,1275.5,1229.9,150.03,1150,6280.1,0.113,1,4,34,4,103.3137834,16.8083992,60.83083089,3.889116645,28.80914095,41.67299953,0.253309772
129,129,3,44.43333333,56.36666667,78.77333333,0,134.0033333,359.3133333,0.172,10,21,22,30,95.03827405,13.16797071,60.14616263,1.410976658,31.97986181,43.19805908,0.242996966
130,130,3,71.86666667,105.69,95.43333333,0,253.85,149.5433333,0.222,36,50,45,46,85.44551177,13.94049646,63.48884448,5.188850733,34.3586108,37.22189216,0.263729062
131,131,2,34.3,48.5,56.015,3.295,102.905,268.625,0.161,4,24,48,13,80.43806267,12.86373712,73.30024474,1.687613257,29.96399519,35.19055435,0.257436837
132,132,3,28.26666667,704.5666667,770.4,72.11666667,769.3766667,6528.266667,0.113,1,4,34,4,106.8694239,13.96063224,62.04168526,4.196754894,29.87187149,38.46413829,0.249648651
133,133,1,28.2,23.48,31.37,0,72.78,240.73,0.157,2,30,47,23,92.29453823,14.8348546,61.73456301,1.860902361,27.48139027,43.30944231,0.274530672
134,134,2,49.9,94.13,85.18,0,188.99,169.73,0.209,27,35,38,47,49.45342261,14.87247081,68.67032471,2.404571088,34.70247402,36.76303654,0.267986923
135,135,2,32.95,48.61,66.145,0,87.49,138.905,0.157,39,34,5,12,116.1649082,13.00283597,45.30357945,0.447297329,20.9365441,32.80567853,0.226463826
136,136,2,33.4,43.615,44.155,0,96.84,285.655,0.193,14,11,15,36,97.47148005,16.28158331,47.14650536,1.714533518,30.30991904,37.04655902,0.249171667
137,137,3,48.26666667,73.64,42.70666667,0,96.31666667,271.7733333,0.218,19,41,39,41,97.82597436,17.1248561,51.84443622,2.245710519,33.30169741,35.62134213,0.254799856
138,138,4,36.75,790.71,753.2825,80.4175,700.705,3839.945,0.137,12.5,8.5,32,11.5,106.5975946,17.35807338,54.26408533,3.846965757,28.28499783,35.61150336,0.235281059
139,139,4,43.8,52.81,70.6675,0,157.2925,223.3425,0.211,7,23,24,42,97.41407252,17.16698219,52.23692727,1.127549965,33.90724686,40.46290584,0.248238086
140,140,1,42.8,50.83,74.25,0,114.17,376.7,0.173,43,14,23,33,109.2073562,10.5526325,45.65937439,0.202792019,18.29497803,34.2644633,0.216239247
141,141,2,47.45,74.41,68.37,0,149.12,312.25,0.161,4,24,48,13,86.95185566,14.25142583,70.50897465,2.951150227,30.20734916,35.15911118,0.266797434
142,142,3,47.26666667,54.05666667,59.85,0,123.4333333,352.1266667,0.157,2,30,47,23,86.29690376,8.47446745,67.23878939,3.780746908,34.56530995,34.75148837,0.261358674
143,143,2,56.6,112.83,119.055,0,238.74,0,0.223,34,44,40,49,87.15286332,14.21456778,59.32431259,10.07845145,31.531331,38.9457922,0.244739194
144,144,1,32,39.3,50.62,1.97,97.85,258.49,0.141,3,26,5,10,102.1296353,13.34499963,49.41500176,1.611330297,25.9176214,34.38612239,0.194939502
145,145,4,54.725,68.7675,73.1725,0,198.4875,179.6225,0.175,8,39,42,29,91.85840608,16.64291227,65.23977471,1.533676907,36.03855801,41.00845655,0.269176506
146,146,1,32.6,745.4,856.5,96.2,1053.58,7508.3,0.113,1,4,34,4,107.9527872,16.27982655,62.09826001,3.593968196,32.46841396,40.95082508,0.254814831
147,147,2,51.85,41.015,82.445,0,120.68,360.95,0.218,19,41,39,41,95.83981324,17.0516553,52.55041647,2.790883839,34.39397001,35.38398918,0.257466109
148,148,2,39.9,57.185,61.065,0,128.385,295.73,0.141,3,26,5,10,99.52649517,13.69653783,32.28198704,1.238223215,24.46410436,33.31256125,0.243218381
149,149,2,28.05,985.07,1120.71,109.43,1005.845,6724.2,0.146,15,8,28,11,91.53991795,16.75151571,52.31655258,5.148482399,21.56048017,43.87451021,0.248245391
150,150,3,23.06666667,30.33,41.08666667,0,67.62,141.36,0.172,47,36,36,32,92.40589849,16.05794006,45.16808897,4.117724438,26.1214328,32.78052803,0.213888483
151,151,7,39.81428571,46.13714286,45.12,0.337142857,97.76285714,355.6557143,0.164,7,45.28571429,21,17.85714286,95.27924719,16.98681517,50.31232497,2.349307658,35.65043802,38.32975408,0.252607148
152,152,2,30.8,64.28,83.6,0,108.04,236.135,0.161,4,24,48,13,84.07536745,11.77946944,73.91332579,1.452440858,29.29981423,34.83708072,0.257433448
153,153,4,45.275,48.2975,63.07,0,163.7375,232.68,0.157,2,30,47,23,81.14546032,9.138958103,68.77162199,3.763967429,34.45453973,34.73198979,0.262394603
154,154,1,44.7,,0,58.06,65.43,97.6,0.174,33,47,25,37,95.09091949,14.86736526,55.22032013,2.215983534,32.28261337,35.13730011,0.238731337
155,155,2,47.75,66.715,77.615,0,163.92,122.49,0.26,41,49,32,50,99.33825334,14.22459793,58.55684058,2.829302261,29.67894856,40.12513829,0.234824185
156,156,1,64.7,,110.99,0,237.7,0,0.161,4,24,48,13,86.83717007,14.13567246,70.60145908,1.572902891,30.73345078,34.95743815,0.261744476
157,157,4,38.625,58.74666667,50.665,0,107.05,145.4675,0.157,39,34,5,12,115.8222787,13.33328331,48.71759789,0.567631072,20.3194034,34.18093073,0.231211206
158,158,2,40.1,55.57,53.445,0,122.245,305.545,0.1575,13,27.5,17,17.5,96.77327156,15.78074758,49.47611682,1.34038353,35.47718875,38.63102309,0.26543234
159,159,1,33.9,74.03,74.86,0,104.1,260.63,0.156,18,5,46,27,93.11324761,20.02234997,65.31223266,4.23562087,26.25710272,46.19076057,0.257151963
160,160,2,49.9,72.1,70.535,0,138,217.03,0.193,14,11,15,36,97.08598519,15.72782405,44.7663951,2.519166172,27.50182247,35.59846115,0.235580812
161,161,2,37.2,76.115,75.53,0,149.34,242.86,0.161,4,24,48,13,89.46520122,11.95805653,74.07000653,2.008718834,29.38631765,34.81180167,0.257634433
162,162,1,42,47.71,55.89,0,154.6,0,0.175,8,39,42,29,88.08480835,14.3033638,68.63259125,3.017020822,33.56786346,37.15607452,0.272051141
163,163,5,21.02,26.15,34.022,0,51.626,207.282,0.175,37,32,43,31,96.62423308,18.27352806,57.43202871,3.51678243,21.53290683,45.75975282,0.247585724
164,164,2,49.9,82.09,31.845,0,208.18,379.755,0.227,30,43,34.5,47,86.2962389,10.16917885,65.36143541,5.095432163,35.23102737,36.08595515,0.268653004
165,166,2,41.45,58.73,83.345,0,137.8,310.805,0.187,6,10,6,25,97.34978231,12.4407196,54.38241387,4.167115867,31.37239822,36.18027465,0.208400311
166,167,1,32.7,51.33,82.92,0,128.59,204.17,0.157,2,30,47,23,80.37322807,11.50367105,69.01572323,3.879213661,35.48023319,36.15478277,0.252597813
167,168,9,51.85555556,76.86111111,87.41222222,0,188.24,262.7966667,0.208,14,17,30.66666667,38.66666667,103.0001387,14.709777,59.53257397,5.126841622,29.161344,41.10209532,0.261005073
168,169,4,57.125,60.2625,92.6775,3.9375,178.57,247.9425,0.21875,33.75,46.25,43.25,46.25,63.6205485,13.01234625,69.5982978,2.625343923,34.72121417,37.06710744,0.266017645
169,170,3,39.33333333,62.945,85.53666667,0,143.6266667,182.6466667,0.182,16.33333333,10.33333333,15.33333333,31,96.58769099,14.4236072,38.96572152,2.096671239,29.4719666,35.54319264,0.266674556
170,171,4,42.7,59.85,80.6925,0,133.2575,178.25,0.2355,24,36,28,46,98.52322992,13.48462941,53.5839177,3.486585389,34.27269006,39.02991907,0.208824951
171,172,2,61.1,59.82,78.295,0,179.685,509.33,0.231,26,42,29,45,85.25507546,8.558342169,68.03925209,4.522857619,34.57564697,34.78396296,0.270815285
172,173,2,54.85,47.27,97.055,0,217.825,134.805,0.18,17.5,27,24.5,34.5,88.30225332,13.79791117,64.20164368,2.45261561,29.49707253,39.14215184,0.276938984
173,174,5,41.9,49.516,57.016,0.816,143.948,246.676,0.211,7,23,24,42,97.97525986,16.61046457,53.55371198,1.707662952,34.21390326,40.85036275,0.22158291
174,175,4,56.975,70.61,83.435,0,215.295,200.2725,0.222,36,50,45,46,90.58387861,12.62857454,66.2509863,5.167717973,36.14846467,36.54109709,0.272522422
175,176,3,40.96666667,59.375,50.66333333,0,120.8133333,275.7733333,0.161,4,24,48,13,86.6754932,13.82143078,70.00681559,0.809167776,32.08804241,35.14096843,0.261919557
176,177,4,37.375,49.385,58.31,0.9325,122.74,277.8775,0.161,4,24,48,13,87.66556599,14.1510507,71.11373052,2.499491716,30.30752612,35.276805,0.266942644
177,178,4,36.575,43.745,59.465,0,114.205,205.8725,0.188,25,33,27,39,95.90456572,13.22439783,67.53603975,3.408777345,31.70230625,35.43913348,0.261550014
178,179,1,26.5,33.39,33.21,0,74.19,230.45,0.176,32,18,44,28,105.926801,18.26550033,54.25104141,3.796130327,23.48220101,37.84628461,0.241822289
179,180,4,31.025,43.0675,45.6775,1.2375,84.1625,252.08,0.162,7.5,15,9.5,14,100.2245841,20.40346797,54.262496,0.824182065,30.48964592,34.95057616,0.268879795
180,181,2,33.1,34.5,43.78,0,98.885,254.885,0.164,13,22,14,20,90.62606049,15.11304641,59.2332077,0.834595278,28.5696497,39.78125572,0.254123628
181,182,5,34.34,44.172,38.542,0,96.102,296.992,0.148,20.2,21.8,20,10.6,94.19459345,14.95985728,33.7841879,1.350851272,29.91056455,33.88956907,0.254193152
182,183,3,29.4,876.2666667,919.6333333,84.76666667,749.9,7123.1,0.127,23,27,2,6,103.5493668,17.45929421,53.26358668,0.239630066,26.11802525,39.56483555,0.262888496
183,184,3,48.8,46.79,83.62333333,4.256666667,123.4233333,372.64,0.213333333,11,29,29,41.66666667,96.07364549,17.23245875,54.86500486,3.621680266,35.98003335,42.31910801,0.243582903
184,185,3,34.43333333,47.48,53.41333333,0,87.62666667,309.27,0.137666667,20,13.66666667,13.66666667,14.66666667,92.43989395,17.53228823,48.47323022,4.085225347,33.62492124,32.36935569,0.229208236
185,186,4,24.975,41.4875,38.88,0.665,78.045,211.0975,0.156,18,5,46,27,92.75293471,19.88347755,66.41298053,4.46956267,25.88522396,46.2277543,0.253600655
186,187,2,51.25,68.45,46.245,34.57,154.575,224.475,0.1875,31.5,47.5,37,40.5,93.31342999,13.9059914,58.3092955,2.476914138,31.78318183,37.02159612,0.256720771
187,188,1,31.3,50.32,65.01,0,130.54,171.62,0.161,4,24,48,13,100.6796221,13.17190812,76.16125107,1.442630727,29.50948136,32.60525622,0.257037318
188,189,5,42.92,60.116,69.732,1.766,123.198,324.474,0.211,7,23,24,42,97.13030987,14.50175082,50.97233696,2.642851621,31.43327908,39.59496231,0.202945549
189,190,3,36.5,44.96,52.73666667,1.213333333,108.4166667,305.56,0.193,14,11,15,36,99.28104672,16.72303412,48.12683334,2.906102885,31.27552789,36.34503644,0.249708534
190,191,3,36.93333333,42.78333333,68.61,0.736666667,122.6933333,207.11,0.193,14,11,15,36,98.28759172,16.42268256,46.61179996,3.558240806,30.09771254,36.81407373,0.245721114
191,192,3,41.96666667,48.885,78.33,0,129.9333333,327.5133333,0.172,10,21,22,30,82.9958073,14.3008129,62.00389207,2.273223892,27.43093694,40.43430344,0.241513629
192,193,3,43.66666667,44.745,63.68,0.793333333,164.6266667,195.5833333,0.208,22,38,33,40,94.18081496,16.14720408,54.42680952,2.211116393,29.94986047,37.15506564,0.244633514
193,194,1,34.9,33.4,52.26,0,115.92,283.64,0.157,2,30,47,23,85.45590973,12.30504566,65.8957456,3.437463641,32.95963796,40.37399832,0.263435339
194,195,3,54.9,70.735,102.4166667,0,199.3866667,223.6066667,0.223,34,44,40,49,84.08990244,11.44570259,62.91958458,7.298247329,34.13409107,36.95902419,0.261372222
195,196,2,60.8,96.24,55.67,0,194.065,218.175,0.155,5,46,18,14,96.00376845,16.68089386,51.86347072,2.198376072,34.87840613,36.97187731,0.256062769
196,197,2,39.1,68.22,62.89,1.18,114.745,304.8,0.166,25,11.5,45,27.5,94.1069103,19.98934852,64.5772441,4.220315517,25.66570737,45.63132561,0.259911252
197,198,4,14.75,9.596666667,10.6575,0.3,40.81,97.7,0.089,29,2,12,15,101.5695721,19.34549085,50.62828486,4.317448586,23.58692168,41.03059291,0.245862518
198,199,2,63.6,88.8,109.015,0,257.445,167.645,0.226,16,15,35,43,99.86588362,15.3498127,57.88895455,3.276148939,29.81784363,41.1115387,0.267472413
199,200,2,27.6,30.5,38.79,0,83.805,218.49,0.16,21,9,16,21,96.30965062,14.19923814,38.51008911,1.64090812,30.69494567,34.96142387,0.259377235
