OBJECTID,zones455,rank,Age_adjusted_LCM,Female_Rate,Male_Rate,less_than_49,F49_74,beyond_74,smokrate,GDP,Health_Care_Quality,Health_care_Access,Public_Health,wind,NO2,Temp,SO2,PM25,ozone,co
392,401,3,0.116747894,-0.219172154,-0.206034734,-0.242921109,-0.196886798,-0.120899883,-0.775266394,-1.039099072,1.515204857,-0.620105968,-1.058573213,0.183161964,0.241456233,-0.392768561,0.043032712,1.110286988,0.796066908,0.009810395
393,402,4,0.779998781,-0.078478395,-0.237802841,-0.242921109,-0.159463475,0.005976631,0.469337888,2.350264103,0.326071184,0.311171229,0.532729076,0.112105988,-1.049900625,-1.274776846,-0.550393418,-1.471789455,-1.140177378,-0.672914411
394,403,3,-0.269595747,-0.292195181,-0.153426577,-0.242921109,-0.132098729,-0.37036614,0.911499935,-0.729096343,-0.545960176,-0.351468315,0.949498723,0.592623023,1.007304211,-0.572154521,-0.409689651,0.621829764,-0.024140999,0.062314097
395,404,4,0.496459027,-0.126205864,0.008516183,-0.242921109,0.090544639,-0.421080204,1.419167471,1.523590158,1.832307169,1.314085134,1.36626837,-1.385288174,-1.236954516,1.243482402,0.391275225,1.192537102,-0.360779266,1.066041219
396,405,1,-0.921239743,-0.224967633,-0.390698338,-0.242921109,-0.603192317,-0.146508415,-0.218469741,2.432931498,0.722449075,0.669354767,0.305400178,1.230481803,-0.99851565,-1.306141559,0.175114543,-1.817004533,-0.872226226,-0.665717772
397,406,1,-1.095343101,-0.311456624,-0.382396907,-0.242921109,-0.61477492,-0.298307751,-0.251222486,1.110253185,0.801724653,-1.40810975,-0.452362817,0.32875521,0.018776914,-0.682479654,-0.331801309,0.56777872,-0.461783983,-0.341734266
398,407,3,-0.190005641,-0.206013009,-0.231187638,-0.242921109,-0.441950292,-0.17709889,1.288156494,0.118244451,1.118826966,0.884264889,0.987386873,0.077086312,0.546553108,-0.052401442,0.026566586,0.641815557,-0.495916003,-0.415598087
399,408,4,0.48750514,-0.184399284,-0.08946016,-0.242921109,-0.017803499,-0.22176867,2.185581687,1.358255369,1.134682082,0.010297058,1.290492071,0.442813442,-0.674193163,-0.021606664,0.323831481,0.100356801,0.122857459,-1.994076081
400,409,2,-0.296954846,-0.180342449,-0.165003182,-0.242921109,-0.200459794,-0.188358491,0.272821422,-0.956431678,-1.338715957,-1.479746457,-0.225033919,0.316986491,-0.546504876,-0.624237069,-0.026125315,0.146610865,-0.205896892,-2.295427768
401,410,2,-0.436237532,-0.090427308,-0.136483227,-0.242921109,-0.227147195,-0.204669189,-0.578749928,-1.121766467,-0.228857863,1.528995256,-1.134349512,0.041596815,-1.088902468,1.835392523,-0.461204054,-0.370921344,-1.04161393,0.514116517
402,411,1,-1.12021501,-0.263081425,-0.309629676,-0.242921109,-0.401411182,-0.222329467,-1.233804813,-1.204433861,-0.070306707,-1.551383164,-1.361678411,1.297578816,1.732624702,-0.655210259,-0.948769744,-0.940983096,-0.523062075,1.183915303
403,412,1,-1.03067614,-0.367638673,-0.376624818,-0.242921109,-0.443237248,-0.19694077,1.451920215,1.358255369,1.3566537,0.955901596,1.593597269,-0.7842886,-0.589618656,0.308507603,0.863693972,0.377302748,-0.217397993,-0.572497701
